serie,year,temporadas,episodios,genero,creador,img
12 Monkeys,2017,1,13,Ciencia Ficción,Travis Fickett y Terry Matalas,"https://i.kinja-img.com/gawker-media/image/upload/s--HciJcpAQ--/c_scale,f_auto,fl_progressive,q_80,w_800/oabuhqzmd557hcfvd5ft.png"
13 Reasons Why,2017,1,13,Drama,Brian Yorkey,http://static.t13.cl/images/sizes/1200x675/1493743316-hannah.jpg
21 Thunder,2017,1,8,Drama,Riley Adams,https://occ-0-2433-448.1.nflxso.net/art/50034/b05a33f816808c15bdce20a14c5f649bfb250034.jpg
Gray's Anatomy,2017,1,9,Drama,Shonda Rhimes,https://ewedit.files.wordpress.com/2017/12/greys_3.jpg
Arrested Development,2013,1,22,Comedia,Mitchell Hurwitz,https://cdn.mobilesyrup.com/wp-content/uploads/2018/05/arrested-development.jpg
Better Call Saul,2017,1,10,Comedia,Vince Gilligan y Peter Gould,http://www.indiehoy.com/wp-content/uploads/2017/10/better-call-saul.jpg
Breaking Bad,2013,1,7,Drama,Vince Gilligan,http://static.t13.cl/images/sizes/1200x675/1521203731-bad.jpg
Californication,2014,1,12,Comedia,Tom Kapinos,http://3.bp.blogspot.com/-9jrrZBrNkQ8/TZLbTTr1rfI/AAAAAAAAAPQ/iFqBd9GwHE4/s1600/CALIFORNICATION-Season-4-9.jpg
Criminald Minds,2017,1,23,Misterio,Jeff Davis,https://tvseriesfinale.com/wp-content/uploads/2016/05/criminalminds27-e1462556559753-590x374.jpg
Death Note,2006,1,13,Anime,Madhouse,http://bloody-disgusting.com/wp-content/uploads/2017/07/death-note-trailer.jpg
Elementary,2017,1,24,Misterio,Robert Doherty,http://www.bolsamania.com/seriesadictos/wp-content/uploads/2016/03/elementary1-690x387.jpg
Fargo,2015,1,10,Misterio,Noah Hawley,https://nerdist.com/wp-content/uploads/2015/11/Fargo-Season-2.jpg
Incomplete Life,2014,1,20,KDrama,Kim Won Seok,https://pm1.narvii.com/6399/e5f814558e3470af86efd70b776c80b05e8a765c_hq.jpg
Stranger Things,2017,1,8,Ciencia Ficción,Duffer Brothers,http://www.bolsamania.com/seriesadictos/wp-content/uploads/2016/08/1074980.jpg-r_x_600-f_jpg-q_x-xxyxx.jpg
Teen Wolf,2017,1,12,Drama,Jeff Davis,https://static1.squarespace.com/static/5580ca7fe4b077ee5304691c/5a1dfd39f9619afa6ad05d09/5a1dfd43e2c483f5ad7836a3/1511914828131/teenwolf.jpg